,,,,slån,4,1,,5,,,,,,,
,,,,asp,8,2,,>10,,,,,,,
,,,,asp,6,2,,>10,,,,,,,
,,,,slån,0.5,1,,,,,,,,,
,,,,slån,1.5,1,,,,,,,,,
119,650590,6626035,310,,,,,,,6,maskros,15,,0,
,,,,,,,,,,,gräs,80,,,
,,,,,,,,,,,stormåra,5,,,
120,650629,6626037,310,,,,,,,9,stormåra,50,,0,
,,,,,,,,,,,vitklöver,5,,,
,,,,,,,,,,,maskros,15,,,
,,,,,,,,,,,smörblomma,5,,,
,,,,,,,,,,,gräs,15,,,
121,650661,6626035,310,,,,,,,8,maskros,20,,0,
,,,,,,,,,,,gräs,75,,,
,,,,,,,,,,,stormåra,5,,,
122,650698,6626033,310,,,,,,,5,gräs,90,,0,
,,,,,,,,,,,mossa,10,,,
123,650731,6626034,310,,,,,,,4,vitsippa,50,,0,
,,,,,,,,,,,vårfryle,5,,,
,,,,,,,,,,,fårsvingel,15,,,
,,,,,,,,,,,älggräs,5,,,
,,,,,,,,,,,gräs,,,,
124,650766,6626036,635,,,,,,,10,blåbär,60,,0,
,,,,,,,,,,,vitsippa,30,,,
,,,,,,,,,,,väggmossa,5,,,
,,,,,,,,,,,husmossa,5,,,
89,utanför,,,,,,,,,,,,,,
90,650277,6626070,310,,,,,,,5,gräs,20,,0,
,,,,,,,,,,,maskros,20,,,
,,,,,,,,,,,smörblomma,10,,,
,,,,,,,,,,,tistel,5,,,
,,,,,,,,,,,vitklöver,5,,,
,,,,,,,,,,,gulvial?,20,,,
,,,,,,,,,,,rölleka,20,,,
91,650311,6626070,310,,,,,,,8,gräs,70,,0,
,,,,,,,,,,,stormåra,10,,,
,,,,,,,,,,,mossa,10,,,
92,650346,6626070,310,,,,,,,4,gräs,80,,0,
,,,,,,,,,,,vitklöver,5,,,
,,,,,,,,,,,stormåra,,,,
,,,,,,,,,,,mossa,15,,,
93,650381,6626071,310,,,,,,,4,gräs,90,,0,
,,,,,,,,,,,smörblomma,5,,,
,,,,,,,,,,,vitklöver,5,,,
källa,650407,6626064,,,,,,,,,,,,,källa
94,utanför,,,,,,,,,,,,,,
95,650453,6626069,310,asp,109,3,tall,,,5,blåbär,10,,,
,,,,asp,0.7,1,,4,,,husmossa,90,,,
